evento_id,evento_nome,evento_tipo_nome,artista_id,artista,funcao_nome
1,Entrevista com Stela do Patrocínio,espetáculo,5,Stela do Patrocínio,autoria
1,Entrevista com Stela do Patrocínio,espetáculo,1,Georgette Fadel,direção
1,Entrevista com Stela do Patrocínio,espetáculo,4,Lincoln Antonio,direção
1,Entrevista com Stela do Patrocínio,espetáculo,1,Georgette Fadel,elenco
1,Entrevista com Stela do Patrocínio,espetáculo,3,Juliana Amaral,elenco
1,Entrevista com Stela do Patrocínio,espetáculo,6,Tomaz Fujita Klotzel,fotografia
1,Entrevista com Stela do Patrocínio,espetáculo,2,Julia Zakia Orlandi,iluminação
1,Entrevista com Stela do Patrocínio,espetáculo,4,Lincoln Antonio,música
1,Entrevista com Stela do Patrocínio,espetáculo,1,Georgette Fadel,produção
1,Entrevista com Stela do Patrocínio,espetáculo,4,Lincoln Antonio,produção
1,Entrevista com Stela do Patrocínio,espetáculo,7,Vitor Souza,produção executiva
1,Entrevista com Stela do Patrocínio,espetáculo,4,Lincoln Antonio,trilha sonora
2,Amor de Servidão,espetáculo,22,Marilia Toledo,autoria
2,Amor de Servidão,espetáculo,24,Marçal Aquino,autoria
2,Amor de Servidão,espetáculo,18,Kleber Montanheiro,cenografia
2,Amor de Servidão,espetáculo,12,Fabiano Gabriel,contrarregra
2,Amor de Servidão,espetáculo,9,Aurora Rodrigues de Morais,costureira
2,Amor de Servidão,espetáculo,11,Eunice Moreira Cruz,costureira
2,Amor de Servidão,espetáculo,21,Marco Antonio Braz,direção
2,Amor de Servidão,espetáculo,22,Marilia Toledo,direção de produção
2,Amor de Servidão,espetáculo,19,Manoel Candeias,elenco
2,Amor de Servidão,espetáculo,20,Marcelo Galdino,elenco
2,Amor de Servidão,espetáculo,23,Martha Nowill,elenco
2,Amor de Servidão,espetáculo,26,Veridiana Toledo,elenco
2,Amor de Servidão,espetáculo,18,Kleber Montanheiro,figurino
2,Amor de Servidão,espetáculo,16,Isabel Delia,fotografia
2,Amor de Servidão,espetáculo,15,Guilherme Bonfanti,iluminação
2,Amor de Servidão,espetáculo,9,Aurora Rodrigues de Morais,operação de luz
2,Amor de Servidão,espetáculo,14,Grissel Piguillem,operação de luz
2,Amor de Servidão,espetáculo,10,Daniela Montanheiro,operação de som
2,Amor de Servidão,espetáculo,7,Vitor Souza,produção executiva
2,Amor de Servidão,espetáculo,13,Gabriel Levy,trilha sonora
2,Amor de Servidão,espetáculo,17,João Zílio,trilha sonora
